imdbId,directors,letterboxdAverageScore,letterboxdNumVotes
tt0036342,Alfred Hitchcock,3.96,68891
tt0036377,Henry King,3.64,3907
tt0036391,Andrew L. Stone,3.67,4294
tt0036427,David Butler,3.26,262
tt0036431,Jean Renoir,3.74,2068
tt0036506,Carl Theodor Dreyer,4.18,14918
tt0036515,Herman Shumlin,3.29,1890
tt0036613,Frank Capra,3.94,47064
tt0036696,Jules Dassin,3.29,1322
tt0036711,Robert Siodmak,3.19,1528
tt0036716,Robert Siodmak,3.15,1040
tt0036733,"Gunther von Fritsch,Robert Wise",3.42,9392
tt0036775,Billy Wilder,4.26,165966
tt0036807,Jacques Tourneur,3.13,1987
tt0036824,Edward Ludwig,3.17,760
tt0036855,George Cukor,4.01,49315
tt0036868,William Wyler,4.23,37838
tt0036872,Leo McCarey,3.3,8209
tt0036891,Preston Sturges,3.83,5131
tt0036931,Erle C. Kenton,3.02,8296
tt0036962,René Clair,3.48,1642
tt0037008,Otto Preminger,4.04,63773
tt0037017,Alfred Hitchcock,3.82,25434
tt0037034,Robert Wise,3.34,354
tt0037055,Jean Negulesco,3.49,1807
tt0037059,Vincente Minnelli,3.81,57999
tt0037075,Fritz Lang,3.56,12232
tt0037094,Vincent Sherman,3.51,2398
tt0037098,Leslie Goodwins,2.49,3803
tt0037099,Reginald Le Borg,2.61,3881
tt0037101,Edward Dmytryk,3.73,11327
tt0037263,Fred Zinnemann,3.52,910
tt0037280,John Cromwell,3.54,1841
tt0037366,Mervyn LeRoy,3.36,1611
tt0037408,Richard Thorpe,3.31,264
tt0037415,Lewis Allen,3.51,14636
tt0037420,Elliott Nugent,3.16,489
tt0037462,Clarence Brown,3.32,415
tt0037465,Henry King,2.91,870
tt0037466,Henry Hathaway,3.32,202
tt0037469,Fritz Lang,3.7,16354
tt0037514,George Sidney,3.44,7023
tt0037515,René Clair,3.55,14975
tt0037522,Edward Dmytryk,3.13,962
tt0037536,Leo McCarey,3.47,5939
tt0037549,Robert Wise,3.6,10507
tt0037576,Rowland V. Lee,3.19,687
tt0037595,Peter Godfrey,3.57,18402
tt0037604,Vincente Minnelli,3.83,5685
tt0037638,Edgar G. Ulmer,3.81,38087
tt0037671,John Cromwell,3.48,1073
tt0037674,Marcel Carné,4.27,20065
tt0037793,Erle C. Kenton,2.79,6252
tt0037795,Henry Hathaway,3.09,1056
tt0037820,Mark Robson,3.31,6001
tt0037859,Charles David,3.38,1834
tt0037865,John M. Stahl,3.93,24498
tt0037884,Billy Wilder,3.97,32578
tt0037913,Michael Curtiz,4.06,36270
tt0037954,Raoul Walsh,3.66,1770
tt0037988,Albert Lewin,3.6,11406
tt0038026,Irving Rapper,3.32,509
tt0038040,"Otto Preminger,Ernst Lubitsch",3.3,789
tt0038057,Fritz Lang,3.95,22406
tt0038107,Jean Renoir,3.58,3074
tt0038109,Alfred Hitchcock,3.78,50008
tt0038116,Walter Lang,3.34,2512
tt0038126,Edgar G. Ulmer,3.22,639
tt0038160,John Ford,3.57,4484
tt0038190,Elia Kazan,3.94,3666
tt0038235,Lewis Milestone,3.4,946
tt0038256,Harold S. Bucquet,3.28,1595
tt0038259,Roy William Neill,3.16,3447
tt0038260,H. Bruce Humberstone,3.26,1162
tt0038262,Vincente Minnelli,3.27,717
tt0038303,John Cromwell,3.23,858
tt0038343,Mark Robson,3.38,3293
tt0038355,Howard Hawks,3.97,69872
tt0038363,David Lean,3.45,10594
tt0038369,George Marshall,3.42,7164
tt0038370,Stuart Heisler,3.24,609
tt0038395,Jacques Tourneur,3.84,4007
tt0038417,Fritz Lang,3.45,2567
tt0038453,Henry Hathaway,3.43,3350
tt0038455,Robert Siodmak,3.5,4392
tt0038494,Roy William Neill,3.23,3291
tt0038499,King Vidor,3.34,6075
tt0038559,Charles Vidor,3.75,47818
tt0038574,David Lean,3.79,15319
tt0038622,Jean Negulesco,3.68,3842
tt0038650,Frank Capra,4.41,516912
tt0038661,Alfred E. Green,3.25,495
tt0038669,Robert Siodmak,3.84,26140
